File Version,BWSpec4.11_1
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
Date,2022-11-22 16:45:36
title,BWS465-785S
model,BTC665N-785S-SYS
c code,ZTIS
operator,
pixel_start,0
pixel_end,2047
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(ms),40000
integration times unit,1
time_multiply,1
average number,1
spectrometer_type,72
yaxis,0
yaxis_min,-168.5623
yaxis_max,10000
xaxis,1
xaxis_min,41
xaxis_max,2016
pixel_num,2048
coefs_a0,782.713239626865
coefs_a1,0.151521702940119
coefs_a2,-3.97583126591097E-06
coefs_a3,-8.25009679001739E-10
coefs_b0,-6379.84684398998
coefs_b1,11.8486644516344
coefs_b2,-0.00749489830355476
coefs_b3,3.53919054036661E-06
coefs_r0,1
coefs_r1,0
coefs_r2,0
coefs_r3,0
coefs_j0,1
coefs_j1,0
coefs_j2,0
coefs_j3,0
enable_coefs_r,0
laser_wavelength,784.96
laser_powerlevel,60
probe_index,0
probe_name,Probe_ZTIS_0
dark_compensate,1
numcoeff_d,7
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,1
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,1
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,Dark Compensate : Dark Subtracted (Processed)
Data Pretreat_1,Linearity Correction : Dark Subtracted (Processed)
Data Pretreat_2,Baseline Removal: lambda=1000000 
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,   ,   ,   ,0.0000,65535.0000,1492.0000,216.0086,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
1,   ,   ,   ,0.0000,65535.0000,1634.0000,338.0211,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
2,   ,   ,   ,0.0000,65535.0000,1531.0000,215.0335,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
3,   ,   ,   ,0.0000,65535.0000,1531.0000,195.0459,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
4,   ,   ,   ,0.0000,65535.0000,1541.0000,185.0582,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
5,   ,   ,   ,0.0000,65535.0000,1741.0000,365.0704,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
6,   ,   ,   ,0.0000,65535.0000,1739.0000,343.0824,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
7,   ,   ,   ,0.0000,65535.0000,1540.0000,124.0941,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
8,   ,   ,   ,0.0000,65535.0000,1806.0000,370.1055,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
9,   ,   ,   ,0.0000,65535.0000,2093.0000,637.1165,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
10,   ,   ,   ,0.0000,65535.0000,2424.0000,948.1269,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
11,   ,   ,   ,0.0000,65535.0000,5134.0000,3638.1365,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
12,   ,   ,   ,0.0000,65535.0000,16693.0000,15177.1453,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
13,   ,   ,   ,0.0000,65535.0000,37204.0000,35668.1527,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
14,   ,   ,   ,0.0000,65535.0000,37833.0000,36277.1577,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
15,   ,   ,   ,0.0000,65535.0000,18840.0000,17264.1574,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
16,   ,   ,   ,0.0000,65535.0000,4632.0000,3036.1470,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
17,   ,   ,   ,0.0000,65535.0000,1958.0000,342.1209,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
18,   ,   ,   ,0.0000,65535.0000,1572.0000,-63.9267,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
19,   ,   ,   ,0.0000,65535.0000,1638.0000,-18.0014,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
20,   ,   ,   ,0.0000,65535.0000,1546.0000,-130.1087,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
