File Version,BWSpec4.11_1
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
Date,2022-11-08 13:46:29
title,BWS465-785S
model,BTC665N-785S-SYS
c code,ZTIS
operator,
pixel_start,0
pixel_end,2047
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(ms),40000
integration times unit,1
time_multiply,1
average number,1
spectrometer_type,72
yaxis,0
yaxis_min,-168.5623
yaxis_max,10000
xaxis,1
xaxis_min,41
xaxis_max,2016
pixel_num,2048
coefs_a0,782.713239626865
coefs_a1,0.151521702940119
coefs_a2,-3.97583126591097E-06
coefs_a3,-8.25009679001739E-10
coefs_b0,-6379.84684398998
coefs_b1,11.8486644516344
coefs_b2,-0.00749489830355476
coefs_b3,3.53919054036661E-06
coefs_r0,1
coefs_r1,0
coefs_r2,0
coefs_r3,0
coefs_j0,1
coefs_j1,0
coefs_j2,0
coefs_j3,0
enable_coefs_r,0
laser_wavelength,784.96
laser_powerlevel,20
probe_index,0
probe_name,Probe_ZTIS_0
dark_compensate,1
numcoeff_d,7
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,1
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,1
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,Dark Compensate : Dark Subtracted (Processed)
Data Pretreat_1,Linearity Correction : Dark Subtracted (Processed)
Data Pretreat_2,Baseline Removal: lambda=1000000 , 
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,   ,   ,   ,1431.0000,65535.0000,1529.0000,219.3100,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
1,   ,   ,   ,1543.0000,65535.0000,1678.0000,244.2343,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
2,   ,   ,   ,1435.0000,65535.0000,1541.0000,203.1585,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
3,   ,   ,   ,1430.0000,65535.0000,1538.0000,193.0827,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
4,   ,   ,   ,1436.0000,65535.0000,1560.0000,197.0068,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
5,   ,   ,   ,1596.0000,65535.0000,1765.0000,229.9308,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
6,   ,   ,   ,1610.0000,65535.0000,1772.0000,210.8547,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
7,   ,   ,   ,1320.0000,65535.0000,1450.0000,166.7783,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
8,   ,   ,   ,1551.0000,65535.0000,1717.0000,190.7016,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
9,   ,   ,   ,1700.0000,65535.0000,1909.0000,221.6245,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
10,   ,   ,   ,1427.0000,65535.0000,1771.0000,344.5470,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
11,   ,   ,   ,1566.0000,65535.0000,2635.0000,1057.4689,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
12,   ,   ,   ,1671.0000,65535.0000,6121.0000,4426.3901,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
13,   ,   ,   ,1416.0000,65535.0000,11367.0000,9915.3103,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
14,   ,   ,   ,1389.0000,65535.0000,10916.0000,9479.2294,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
15,   ,   ,   ,1310.0000,65535.0000,5564.0000,4194.1462,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
16,   ,   ,   ,1480.0000,65535.0000,2255.0000,703.0596,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
17,   ,   ,   ,1469.0000,65535.0000,1644.0000,90.9678,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
18,   ,   ,   ,1306.0000,65535.0000,1470.0000,67.8693,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
19,   ,   ,   ,1417.0000,65535.0000,1557.0000,31.7625,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
20,   ,   ,   ,1332.0000,65535.0000,1501.0000,48.6457,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
